ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Random_notes
44772213,$18817,-,AUDI,A4,2011,Sedan,Yes,Petrol,2.0 Turbo,144878KM,4.0,Manual,4x4,04-May,Left wheel,Black,8,
41494638,$90,-,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.8,100000KM,6.0,Automatic,Front,04-May,Left wheel,Golden,8,
45789463,$14426,475,CHEVROLET,Cruze,2012,Sedan,Yes,Petrol,1.4,108800KM,4.0,Tiptronic,Front,04-May,Left wheel,Carnelian red,0,
45772002,$1646,,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Petrol,3.5,,6.0,Automatic,4x4,04-May,Left wheel,,12,
45768350,$10663,828,CHEVROLET,Malibu,2020,Sedan,Yes,Petrol,1.5,14162KM,4.0,Automatic,Front,04-May,Left wheel,Brown,12,
45665124,$18503,584,HYUNDAI,Elantra,2014,Sedan,No,Petrol,1.8,150000KM,6.0,Tiptronic,Front,04-May,Left wheel,Grey,8,
45760602,$20385,308,TOYOTA,Prius,2014,Hatchback,No,Hybrid,1.8,155000KM,4.0,Tiptronic,Front,04-May,Left wheel,Grey,8,
45642008,$3450,607,TOYOTA,Camry,2019,Sedan,Yes,Hybrid,2.5,9626KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45809919,$4632,419,NISSAN,March,2013,Hatchback,Yes,Petrol,1.2,89542KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45781871,$16308,-,VOLKSWAGEN,Jetta,2011,Sedan,Yes,LPG,2.5,169600KM,5.0,Tiptronic,Front,04-May,Left wheel,Black,8,
45760741,$47,1017,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2,43651KM,4.0,Automatic,Front,04-May,Left wheel,Silver,0,
45776062,$16935,-,BMW,X5,2004,Jeep,Yes,Diesel,3.0 Turbo,250000KM,8.0,Tiptronic,4x4,04-May,Left wheel,Blue,0,
45806834,$549,1053,LEXUS,IS 350,2014,Sedan,Yes,Petrol,3.5,89315KM,6.0,Automatic,Rear,04-May,Left wheel,Black,12,
45804983,$40769,,TOYOTA,Camry,2018,Sedan,Yes,Petrol,2.5,,4.0,Tiptronic,Front,04-May,Left wheel,,12,
45812808,$470,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,20877KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45272438,$17000,584,NISSAN,Fuga,2014,Sedan,No,Petrol,1.8,48000KM,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45768394,$50178,,BMW,550,2007,Sedan,Yes,Petrol,5,,10.0,Tiptronic,Rear,04-May,Left wheel,,12,
45803711,$23991,765,HYUNDAI,Tucson,2015,Jeep,Yes,Diesel,2,40602KM,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45802914,$40026,,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,,4.0,Automatic,Front,04-May,Left wheel,,4,
45762406,$4391,2148,MERCEDES-BENZ,S 550,2010,Sedan,Yes,Petrol,5.5,149434KM,8.0,Automatic,4x4,04-May,Left wheel,Black,12,
45757548,$41397,,MERCEDES-BENZ,CLA 250,2014,Sedan,Yes,Petrol,2.0 Turbo,,4.0,Tiptronic,Front,04-May,Left wheel,,12,
45785219,$26971,917,MITSUBISHI,Outlander,2013,Jeep,No,Petrol,3,126000KM,6.0,Automatic,4x4,04-May,Left wheel,Orange,8,
45762514,$470,583,CHEVROLET,Aveo,2011,Hatchback,Yes,Petrol,1.6,155536KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45793631,$26971,986,FORD,Transit,2010,Microbus,No,Diesel,2.4 Turbo,155000KM,4.0,Manual,Rear,04-May,Left wheel,White,2,
45097856,$47042,1327,TOYOTA,RAV 4,2018,Jeep,No,Petrol,2.5,15000KM,4.0,Automatic,Front,04-May,Left wheel,Black,2,
45688396,$24148,,AUDI,Q5,2010,Jeep,Yes,Petrol,2.0 Turbo,,4.0,Automatic,4x4,04-May,Left wheel,,6,
45655388,$9408,1236,HONDA,FIT Premiym,2011,Hatchback,No,Hybrid,1.3,151000KM,4.0,Tiptronic,Front,04-May,Right-hand drive,Blue,2,
45624062,$11290,843,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,170000KM,4.0,Variator,Front,04-May,Left wheel,Black,8,
45795673,$8467,-,NISSAN,March,2003,Hatchback,No,Diesel,1.5 Turbo,185000KM,4.0,Manual,Front,04-May,Left wheel,Blue,6,
45782226,$11604,490,HONDA,Insight EX,2011,Hatchback,No,Hybrid,1.3,150000KM,4.0,Variator,Front,04-May,Left wheel,Grey,8,
45813848,$5645,431,FORD,Fusion,2016,Sedan,Yes,Hybrid,2,82296KM,4.0,Automatic,Front,04-May,Left wheel,White,12,
45731777,$15367,,HYUNDAI,H1,2010,Minivan,Yes,Diesel,2.5,,4.0,Automatic,Front,04-May,Left wheel,,4,
45646660,$3136,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,159379KM,4.0,Automatic,Front,04-May,Left wheel,White,12,
45781694,$21326,-,PEUGEOT,508,2014,Sedan,Yes,Petrol,1.6 Turbo,74000KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
45804876,$27924,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,105437KM,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45801524,$15323,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,125933KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45803039,$37564,,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,,4.0,Automatic,Front,04-May,Left wheel,,4,
45766617,$73071,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,188078KM,8.0,Automatic,4x4,04-May,Left wheel,Black,0,
45783199,$26657,,KIA,Optima,2017,Sedan,No,Petrol,2.4,,4.0,Automatic,Front,04-May,Left wheel,,10,
45751934,$470,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,0KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45747500,$7527,-,BMW,520,1996,Sedan,No,Petrol,2,44444KM,6.0,Manual,Rear,04-May,Left wheel,Blue,2,
45805574,$7527,-,MITSUBISHI,Airtrek,2001,Jeep,Yes,CNG,2,111111KM,4.0,Tiptronic,Front,04-May,Left wheel,Silver,4,
45769264,$282,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,218126KM,8.0,Automatic,4x4,04-May,Left wheel,Black,0,
45624842,$7840,-,MAZDA,Mazda 3,2012,Sedan,No,Petrol,2,125000KM,4.0,Tiptronic,Front,04-May,Left wheel,Silver,12,
45658776,$941,1058,LEXUS,RX 450,2012,Jeep,Yes,Hybrid,3.5,232357KM,6.0,Automatic,4x4,04-May,Left wheel,Black,12,
45808748,$1176,779,FORD,Escape,2013,Jeep,Yes,Petrol,2.5,241638KM,4.0,Automatic,Front,04-May,Left wheel,Silver,12,
45803047,$33243,,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,,4.0,Automatic,Front,04-May,Left wheel,,4,
45797191,$25729,831,HYUNDAI,Elantra,2017,Sedan,Yes,Petrol,1.6,56378KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45810495,$17249,-,BMW,X5,2004,Jeep,Yes,LPG,4.4,240000KM,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8,
45787300,$17249,-,HONDA,FIT,2012,Hatchback,Yes,Petrol,1.5,125000KM,4.0,Variator,Front,04-May,Right-hand drive,Black,4,
45769893,$16621,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,119379KM,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
45117624,$5331,-,VOLKSWAGEN,Caddy,1999,Pickup,No,Diesel,1.9,260000KM,4.0,Manual,Front,02-Mar,Left wheel,White,2,
45757107,$6899,,TOYOTA,Vitz,2001,Sedan,No,Petrol,1.3,,4.0,Automatic,Front,04-May,Left wheel,,4,
45645617,$314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510KM,4.0,Automatic,Front,04-May,Left wheel,White,12,
43453542,$30420,-,BMW,X5 Japan,2008,Jeep,Yes,Petrol,4.8,133000KM,8.0,Tiptronic,4x4,04-May,Left wheel,Blue,12,
45766350,$314,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486KM,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
45784727,$19757,-,VOLKSWAGEN,Touareg,2003,Jeep,Yes,Diesel,5.0 Turbo,170000KM,10.0,Automatic,Rear,04-May,Left wheel,Grey,6,
45792152,$10349,,KIA,Cadenza,2013,Sedan,Yes,Petrol,3,,6.0,Automatic,Front,04-May,Left wheel,,4,
45264219,$13172,-,HONDA,Insight,2013,Hatchback,No,Hybrid,1.3,138000KM,4.0,Variator,Front,04-May,Right-hand drive,Silver,6,
45810359,$58507,731,CHEVROLET,Malibu,2019,Sedan,Yes,Petrol,1.3,1878KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
44658005,$8467,503,HONDA,FIT,2012,Hatchback,No,Petrol,1.5,33000KM,4.0,Tiptronic,Front,04-May,Left wheel,Black,10,
45732073,$73313,1076,HYUNDAI,Santa FE,2020,Jeep,Yes,Diesel,2,21844KM,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45785161,$20071,1018,MITSUBISHI,Outlander,2011,Jeep,Yes,Petrol,3,123000KM,6.0,Automatic,4x4,04-May,Left wheel,Silver,8,
45322212,$12231,,TOYOTA,Prius,2010,Hatchback,No,Hybrid,1.8,,4.0,Automatic,Front,04-May,Left wheel,,8,
45789905,$6272,1829,KIA,Carnival,2007,Minivan,Yes,Diesel,2.9,58984KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
45801061,$3600,724,VAZ,2107,2010,Sedan,Yes,Petrol,1.7,64098KM,4.0,Manual,Rear,04-May,Left wheel,Silver,4,
45628290,$12858,475,FIAT,500,2012,Coupe,Yes,Petrol,1.4,138000KM,4.0,Automatic,Front,02-Mar,Left wheel,Silver,4,
45720188,$15681,562,CHEVROLET,Cruze,2015,Sedan,Yes,Petrol,1.4 Turbo,20800KM,4.0,Automatic,Rear,04-May,Left wheel,Black,6,
45759404,$23521,-,TOYOTA,Prius,2014,Sedan,Yes,Petrol,1.8,150000KM,4.0,Automatic,Front,04-May,Left wheel,White,8,
45797488,$45734,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057KM,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45780172,$17562,-,MITSUBISHI,Outlander,2010,Jeep,No,Petrol,2.4,130000KM,4.0,Automatic,4x4,04-May,Left wheel,Silver,6,
45805263,$14800,,SUZUKI,Every Landy NISSAN SEREN,2013,Minivan,No,Petrol,2,,4.0,Variator,Front,04-May,Right-hand drive,,6,
45711524,$19757,333,FORD,C-MAX,2014,Hatchback,Yes,Plug-in Hybrid,2,1280KM,4.0,Automatic,Front,04-May,Left wheel,Silver,12,
45701314,$16465,900,CHRYSLER,200,2015,Sedan,No,Petrol,2.4,99000KM,4.0,Automatic,Front,04-May,Left wheel,White,8,
45767375,$4861,1058,MERCEDES-BENZ,E 350,2012,Sedan,Yes,Diesel,3.5,128202KM,6.0,Automatic,Rear,04-May,Left wheel,Black,12,
45788465,$47042,-,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.0 Turbo,80000KM,6.0,Tiptronic,Rear,04-May,Left wheel,Black,12,
45809126,$29075,1234,FORD,Mustang,2011,Coupe,Yes,Petrol,3.7,142016KM,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45814446,$13799,,TOYOTA,Prius,2009,Sedan,No,Hybrid,1.8,,4.0,Automatic,Front,04-May,Left wheel,,12,
45803490,$9252,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,586667KM,4.0,Automatic,Front,04-May,Left wheel,Orange,4,
45769645,$125,,TOYOTA,Highlander,2010,Sedan,Yes,Hybrid,3.3,,6.0,Automatic,4x4,04-May,Left wheel,,12,
45813064,$549,1017,HYUNDAI,Elantra,2017,Sedan,Yes,Petrol,2,83845KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45756536,$20385,,TOYOTA,Corolla Im,2017,Hatchback,No,Petrol,1.8,,4.0,Tiptronic,Front,04-May,Left wheel,,12,
45797388,$251,1855,DODGE,RAM,2011,Sedan,Yes,Petrol,5.7,0KM,8.0,Automatic,Front,04-May,Left wheel,Silver,12,
45738743,$10976,475,FIAT,500,2012,Hatchback,No,Petrol,1.4,127520KM,4.0,Manual,Front,02-Mar,Left wheel,Green,6,
45765636,$1568,1172,MERCEDES-BENZ,E 350,2011,Coupe,Yes,Diesel,3.5,226251KM,6.0,Automatic,Rear,02-Mar,Left wheel,Black,12,
45801010,$34497,,KIA,Optima,2017,Sedan,Yes,Petrol,2.4,,4.0,Tiptronic,Front,04-May,Left wheel,,0,
45812138,$50805,1327,MAZDA,Mazda 6,2018,Sedan,Yes,Petrol,2.5,53277KM,4.0,Automatic,Front,04-May,Left wheel,Grey,0,
45772061,$3763,1714,TOYOTA,Tacoma,2017,Sedan,Yes,Petrol,3.5,174827KM,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
45727639,$21181,642,SSANGYONG,Korando,2012,Jeep,Yes,Diesel,2,159989KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45634943,$941,,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,1.8,,4.0,Automatic,Front,04-May,Left wheel,,12,
45642841,$3450,607,TOYOTA,Camry,2019,Sedan,Yes,Hybrid,2.5,9626KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45809956,$54822,1017,HONDA,Civic,2017,Sedan,Yes,Petrol,2,28899KM,4.0,Automatic,Front,04-May,Left wheel,Black,4,
45768672,$9565,784,HONDA,Civic,2017,Sedan,Yes,Petrol,1.5,58282KM,4.0,Automatic,Front,04-May,Left wheel,White,12,
45647793,$7213,919,BMW,X5,2012,Jeep,Yes,Diesel,3,274098KM,6.0,Automatic,4x4,04-May,Left wheel,White,0,
45667886,$16308,-,TOYOTA,Prius C,2014,Sedan,Yes,Hybrid,1.5,75000KM,4.0,Automatic,Front,04-May,Left wheel,Silver,8,
45789721,$9500,-,VOLKSWAGEN,Jetta,2005,Sedan,Yes,Petrol,2.5,97000KM,5.0,Tiptronic,Front,04-May,Left wheel,Silver,6,
45774190,$1882,,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Petrol,3.5,,6.0,Automatic,Rear,04-May,Left wheel,,12,
40047055,$40,-,HONDA,FIT,2006,Hatchback,Yes,Petrol,1.3,11111111KM,4.0,Variator,Front,04-May,Right-hand drive,White,4,
45803094,$39226,,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,,4.0,Automatic,Front,04-May,Left wheel,,4,
45810576,$17158,640,CHEVROLET,Orlando,2013,Jeep,Yes,Diesel,2,177864KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45811056,$627,382,CHEVROLET,Volt,2017,Hatchback,Yes,Hybrid,1.5,102379KM,4.0,Automatic,Front,04-May,Left wheel,Blue,12,
45759173,$8781,642,KIA,Optima,2012,Sedan,Yes,Petrol,2,46208KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45790273,$11917,-,SUBARU,Forester L.L.BEAN,2004,Jeep,Yes,CNG,2.5,220000KM,4.0,Automatic,4x4,04-May,Left wheel,Green,5,
45798552,$36065,397,TOYOTA,Prius,2016,Sedan,Yes,Hybrid,1.8,158000KM,4.0,Automatic,Front,04-May,Left wheel,Grey,12,
45808430,$6272,-,HONDA,FIT,2002,Hatchback,No,Petrol,1.3,161000KM,4.0,Automatic,Front,04-May,Right-hand drive,Red,4,
45804225,$38445,696,JAGUAR,XF,2013,Sedan,Yes,Diesel,2.2,71201KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
45645638,$784,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,102397KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45804796,$3000,,HYUNDAI,Santa FE,2001,Jeep,No,CNG,2.4,,4.0,Tiptronic,Front,02-Mar,Left wheel,,2,
45813637,$17876,1292,LAND ROVER,Range Rover,2016,Jeep,Yes,Diesel,3,84110KM,6.0,Automatic,4x4,04-May,Left wheel,Black,12,
45814309,$13485,,TOYOTA,Corolla,2007,Sedan,No,Petrol,1.6,,4.0,Tiptronic,Front,04-May,Left wheel,,10,
36987589,$9408,1268,TOYOTA,Aqua,2012,Hatchback,No,Petrol,1.5,111000KM,4.0,Automatic,Front,04-May,Right-hand drive,Black,6,
45774064,$314,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,132630KM,6.0,Automatic,Rear,04-May,Left wheel,Silver,12,
45732158,$26343,640,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,36458KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
45815529,$15367,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,171000KM,4.0,Variator,Front,04-May,Left wheel,Grey,4,
45732363,$71983,1077,HYUNDAI,Santa FE,2019,Jeep,Yes,Diesel,2,10120KM,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45808598,$3136,831,NISSAN,Versa,2017,Jeep,Yes,Petrol,1.6,59974KM,4.0,Automatic,Front,04-May,Left wheel,Red,12,
44958225,$9095,-,OPEL,Zafira,2005,Minivan,No,Petrol,1.6,287140KM,4.0,Manual,Front,04-May,Left wheel,White,4,
45808406,$2822,562,BUICK,Century,2015,Jeep,Yes,Petrol,1.4,107358KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45769895,$549,1234,MAZDA,CX-9,2011,Sedan,Yes,Petrol,3.7,134157KM,6.0,Automatic,4x4,04-May,Left wheel,Black,12,
45444840,$28539,-,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,192000KM,4.0,Automatic,Front,04-May,Left wheel,Black,8,
45813713,$12074,333,SUBARU,XV,2014,Jeep,Yes,Hybrid,2,131872KM,4.0,Automatic,4x4,04-May,Left wheel,White,12,
44153312,$38500,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000KM,1.0,Tiptronic,4x4,04-May,Left wheel,White,12,
45776463,$18817,-,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,108000KM,4.0,Variator,Front,04-May,Left wheel,Red,10,
45782170,$11604,645,TOYOTA,Prius,2011,Hatchback,Yes,Hybrid,1.8,287100KM,4.0,Tiptronic,Front,04-May,Left wheel,Golden,12,
45797857,$9888,1024,HYUNDAI,H1,2010,Minivan,Yes,Diesel,2.5,351108KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45816348,$13485,836,VOLKSWAGEN,Passat,2010,Sedan,Yes,Petrol,2.0 Turbo,114000KM,4.0,Tiptronic,Front,04-May,Left wheel,White,8,
45776537,$13172,742,OPEL,Astra,2008,Hatchback,No,Diesel,1.3,189000KM,4.0,Manual,Front,04-May,Left wheel,Silver,0,
45731125,$31082,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,170971KM,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45786983,$40,-,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.5,150400KM,4.0,Automatic,Front,04-May,Left wheel,Black,16,
45492034,$4861,-,OPEL,Vectra,1996,Sedan,No,Petrol,1.8,319000KM,4.0,Manual,Front,04-May,Left wheel,Golden,2,
45511897,$12231,-,HONDA,Insight,2009,Sedan,No,Hybrid,1.3,244800KM,4.0,Tiptronic,Front,04-May,Left wheel,Silver,6,
45755034,$1882,518,TOYOTA,Avalon,2016,Sedan,Yes,Hybrid,2.5,55096KM,4.0,Automatic,Front,04-May,Left wheel,Blue,0,
45798286,$17227,,HYUNDAI,Elantra,2016,Sedan,Yes,LPG,1.6,,4.0,Automatic,Front,04-May,Left wheel,,4,
45791362,$7900,-,HONDA,Pilot,2003,Jeep,Yes,Petrol,3.5,1000KM,6.0,Automatic,4x4,04-May,Left wheel,Grey,6,
45809557,$10986,,CHEVROLET,Cruze,2011,Sedan,Yes,Diesel,2,,4.0,Automatic,Front,04-May,Left wheel,,4,
45803213,$19914,,HYUNDAI,Sonata,2017,Sedan,Yes,LPG,2,,4.0,Automatic,Front,04-May,Left wheel,,4,
45765480,$125,,TOYOTA,Tundra,2013,Coupe,Yes,Petrol,5.7,,8.0,Automatic,Rear,04-May,Left wheel,,12,
45789621,$5331,,MITSUBISHI,Galant,2003,Sedan,No,Petrol,2.0 Turbo,,4.0,Tiptronic,Front,04-May,Right-hand drive,,6,
45781201,$9722,-,BMW,525,2002,Sedan,Yes,LPG,2.5,166818KM,6.0,Tiptronic,Rear,04-May,Left wheel,Pink,8,
45792218,$27755,,KIA,Optima,2016,Sedan,Yes,Diesel,1.7,,4.0,Automatic,Front,04-May,Left wheel,,4,
45764120,$9408,-,HONDA,FIT,2007,Hatchback,No,Petrol,1.5,180000KM,4.0,Variator,Front,04-May,Right-hand drive,Blue,4,
45656923,$9879,1018,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3,275862KM,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,
42793108,$7997,-,HONDA,FIT,2005,Hatchback,No,Petrol,1.3,172000KM,4.0,Automatic,Front,04-May,Right-hand drive,Black,4,
45720276,$15681,1055,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Petrol,3.5 Turbo,140800KM,6.0,Automatic,4x4,04-May,Left wheel,Black,0,
45797486,$19933,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,134000KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
45788770,$6899,,SUBARU,Forester,2000,Jeep,No,CNG,2.0 Turbo,,4.0,Automatic,4x4,04-May,Right-hand drive,,2,
45763904,$81539,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976KM,8.0,Automatic,4x4,04-May,Left wheel,White,0,
45802041,$15241,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,117492KM,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45815368,$6899,-,HONDA,Stream,2004,Minivan,No,Petrol,1.7,0KM,4.0,Automatic,Front,04-May,Right-hand drive,Silver,4,
45801329,$13799,-,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.6,182400KM,4.0,Automatic,Front,04-May,Left wheel,Red,6,
45776672,$17562,1017,HYUNDAI,Elantra,2017,Sedan,No,Petrol,2,44000KM,4.0,Automatic,Front,04-May,Left wheel,Black,6,
45732079,$88438,1076,HYUNDAI,Santa FE,2020,Jeep,Yes,Petrol,2,12334KM,4.0,Automatic,Front,04-May,Left wheel,Blue,4,
45732894,$13642,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,43000KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45809144,$29965,,FORD,Taurus,2013,Sedan,Yes,Petrol,3.5,,4.0,Automatic,Front,04-May,Left wheel,,4,
45812631,$54882,-,LEXUS,IS 200,2015,Sedan,Yes,Petrol,2.0 Turbo,71000KM,4.0,Tiptronic,Rear,04-May,Left wheel,Black,12,
45811418,$2430,1053,TOYOTA,Camry,2014,Sedan,Yes,Petrol,3.5,209181KM,6.0,Automatic,Front,04-May,Left wheel,Red,12,
45642777,$314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510KM,4.0,Automatic,Front,04-May,Left wheel,White,12,
